scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.02,0.4,0,0.049951616,0.0799225856,1.0550455552,27617548.96
SME Fund (£25M),0.02,0.4,1,0.049992702,0.0799883232,0.8782032864,27397564.36
SME Fund (£25M),0.02,0.4,2,0.049954924,0.0799278784,1.0552564928,27617898.64
SME Fund (£25M),0.02,0.4,3,0.049987144,0.0799794304,0.6637167488,27129311.68
SME Fund (£25M),0.02,0.4,4,0.049868912,0.0797902592,1.0670888704,27630452.8
SME Fund (£25M),0.02,0.4,5,0.049962014,0.0799392224,0.9853190368,27530661.16
SME Fund (£25M),0.02,0.4,6,0.049623172,0.0793970752,1.0160907584,27560315.92
SME Fund (£25M),0.02,0.4,7,0.049985626,0.0799770016,1.1712080672,27763636.36
SME Fund (£25M),0.02,0.4,8,0.049810654,0.0796970464,1.0467900128,27603564.52
SME Fund (£25M),0.02,0.4,9,0.049905022,0.0798480352,0.9368064224,27468538.6
SME Fund (£25M),0.02,0.4,10,0.049893002,0.0798288032,0.9270607264,27456043.96
SME Fund (£25M),0.02,0.4,11,0.048888152,0.0782210432,1.0735961344,27613087.12
SME Fund (£25M),0.02,0.4,12,0.049983578,0.0799737248,0.7625869216,27252806.68
SME Fund (£25M),0.02,0.4,13,0.049925086,0.0798801376,1.3579623392,27995505.16
SME Fund (£25M),0.02,0.4,14,0.048611366,0.0777781856,1.1583081952,27711780.76
SME Fund (£25M),0.02,0.4,15,0.049769492,0.0796311872,1.2513248704,27858162.88
SME Fund (£25M),0.02,0.4,16,0.04994706,0.079915296,1.10434416,27679053.76
SME Fund (£25M),0.02,0.4,17,0.049953272,0.0799252352,1.1312758144,27712879.84
SME Fund (£25M),0.02,0.4,18,0.049895234,0.0798323744,1.0212248608,27573807.16
SME Fund (£25M),0.02,0.4,19,0.049928442,0.0798855072,1.0204145184,27573657.64
SME Fund (£25M),0.02,0.4,20,0.047677632,0.0762842112,0.8679028224,27324496.96
SME Fund (£25M),0.02,0.4,21,0.049795952,0.0796735232,1.1576335744,27741736.72
SME Fund (£25M),0.02,0.4,22,0.049986098,0.0799777568,1.2352490656,27843699.88
SME Fund (£25M),0.02,0.4,23,0.048320648,0.0773130368,1.0791719296,27605301.76
SME Fund (£25M),0.02,0.4,24,0.0498504,0.07976064,0.98085696,27522181.6
SME Fund (£25M),0.02,0.4,25,0.049958616,0.0799337856,1.1315605632,27713374.72
SME Fund (£25M),0.02,0.4,26,0.049861596,0.0797785536,0.9537675072,27488610.88
SME Fund (£25M),0.02,0.4,27,0.049954736,0.0799275776,1.1370226432,27720101.44
SME Fund (£25M),0.02,0.4,28,0.048891332,0.0782261312,0.9343453504,27439106.32
SME Fund (£25M),0.02,0.4,29,0.049964374,0.0799429984,1.0540084448,27616584.28
SME Fund (£25M),0.02,0.4,30,0.049549278,0.0792788448,1.1883951456,27773775.16
SME Fund (£25M),0.02,0.4,31,0.049961954,0.0799391264,1.2511684768,27862971.4
SME Fund (£25M),0.02,0.4,32,0.048712786,0.0779404576,1.1371253792,27687939.16
SME Fund (£25M),0.02,0.4,33,0.049853712,0.0797659392,1.1739479424,27763631.44
SME Fund (£25M),0.02,0.4,34,0.049771154,0.0796338464,1.2321950368,27834293.8
SME Fund (£25M),0.02,0.4,35,0.0494775,0.079164,1.074130272,27629077.84
SME Fund (£25M),0.02,0.4,36,0.048588266,0.0777412256,1.1111586592,27652243.24
SME Fund (£25M),0.02,0.4,37,0.049906956,0.0798511296,0.9773045952,27519211.6
SME Fund (£25M),0.02,0.4,38,0.049667574,0.0794681184,0.9894373728,27528153.64
SME Fund (£25M),0.02,0.4,39,0.049984144,0.0799746304,0.9080198528,27434612.56
SME Fund (£25M),0.02,0.4,40,0.048829006,0.0781264096,0.8768201312,27365579.32
SME Fund (£25M),0.02,0.4,41,0.049206522,0.0787304352,0.9267922464,27437859.88
SME Fund (£25M),0.02,0.4,42,0.049431288,0.0790900608,1.1482607616,27720539.44
SME Fund (£25M),0.02,0.4,43,0.049451584,0.0791225344,1.0635936128,27615233.2
SME Fund (£25M),0.02,0.4,44,0.049197622,0.0787161952,1.1279756384,27689107.72
SME Fund (£25M),0.02,0.4,45,0.049607556,0.0793720896,1.2020204352,27792322.0
SME Fund (£25M),0.02,0.4,46,0.049588664,0.0793418624,1.0134690688,27556141.6
SME Fund (£25M),0.02,0.4,47,0.049992534,0.0799880544,1.0751757408,27643775.56
SME Fund (£25M),0.02,0.4,48,0.049673908,0.0794782528,1.0920662336,27656604.4
SME Fund (£25M),0.02,0.4,49,0.049777176,0.0796434816,1.0984515072,27667270.96
SME Fund (£25M),0.05,0.4,0,0.049875028,0.0798000448,0.4378456256,26844057.76
SME Fund (£25M),0.05,0.4,1,0.049230618,0.0787689888,0.8186475936,27303305.56
SME Fund (£25M),0.05,0.4,2,0.04996088,0.079937408,0.658009024,27121494.16
SME Fund (£25M),0.05,0.4,3,0.048800374,0.0780805984,0.4142275808,26786594.2
SME Fund (£25M),0.05,0.4,4,0.049585004,0.0793360064,0.6127465408,27055143.28
SME Fund (£25M),0.05,0.4,5,0.049848136,0.0797570176,0.6341551232,27088745.44
SME Fund (£25M),0.05,0.4,6,0.049247064,0.0787953024,0.8074297728,27289710.88
SME Fund (£25M),0.05,0.4,7,0.049983366,0.0799733856,0.4568760672,26870662.6
SME Fund (£25M),0.05,0.4,8,0.049643038,0.0794288608,0.7593889376,27239955.16
SME Fund (£25M),0.05,0.4,9,0.049898294,0.0798372704,0.7281765088,27207576.28
SME Fund (£25M),0.05,0.4,10,0.049965912,0.0799454592,0.5027347584,26927532.16
SME Fund (£25M),0.05,0.4,11,0.04923232,0.078771712,0.540732416,26955955.84
SME Fund (£25M),0.05,0.4,12,0.049919566,0.0798713056,0.7495049312,27234789.88
SME Fund (£25M),0.05,0.4,13,0.049217034,0.0787472544,0.5026514208,26907957.16
SME Fund (£25M),0.05,0.4,14,0.048943106,0.0783089696,0.5484512032,26958084.76
SME Fund (£25M),0.05,0.4,15,0.048042632,0.0768682112,0.7734849664,27215964.64
SME Fund (£25M),0.05,0.4,16,0.048623,0.0777968,0.844565248,27319904.56
SME Fund (£25M),0.05,0.4,17,0.049899434,0.0798390944,1.0413827488,27599113.72
SME Fund (£25M),0.05,0.4,18,0.04996211,0.079939376,0.622631728,27077304.52
SME Fund (£25M),0.05,0.4,19,0.049731044,0.0795696704,0.7278851008,27202863.52
SME Fund (£25M),0.05,0.4,20,0.049996202,0.0799939232,0.3435199264,26729301.16
SME Fund (£25M),0.05,0.4,21,0.049861204,0.0797779264,0.6364251968,27091922.8
SME Fund (£25M),0.05,0.4,22,0.049933772,0.0798940352,0.7061763904,27180998.56
SME Fund (£25M),0.05,0.4,23,0.049630582,0.0794089312,0.6082251104,27050676.52
SME Fund (£25M),0.05,0.4,24,0.049969682,0.0799514912,0.8647565344,27380157.4
SME Fund (£25M),0.05,0.4,25,0.04995235,0.07992376,0.78431384,27279153.4
SME Fund (£25M),0.05,0.4,26,0.04960665,0.07937064,0.50949576,26926642.6
SME Fund (£25M),0.05,0.4,27,0.04905392,0.078486272,0.920041408,27425453.68
SME Fund (£25M),0.05,0.4,28,0.049901438,0.0798423008,0.8910286816,27411223.24
SME Fund (£25M),0.05,0.4,29,0.049723566,0.0795577056,0.3613998432,26744562.52
SME Fund (£25M),0.05,0.4,30,0.049905106,0.0798481696,0.5008216352,26923559.8
SME Fund (£25M),0.05,0.4,31,0.049310332,0.0788965312,0.5960462144,27027126.4
SME Fund (£25M),0.05,0.4,32,0.049925572,0.0798809152,0.7824403904,27276115.36
SME Fund (£25M),0.05,0.4,33,0.049953844,0.0799261504,0.9085262528,27434457.76
SME Fund (£25M),0.05,0.4,34,0.049717264,0.0795476224,0.7855612928,27274600.48
SME Fund (£25M),0.05,0.4,35,0.049269158,0.0788306528,0.9255445216,27437928.76
SME Fund (£25M),0.05,0.4,36,0.049811758,0.0796988128,0.4190146016,26818873.96
SME Fund (£25M),0.05,0.4,37,0.049142242,0.0786275872,0.6355076384,27072082.84
SME Fund (£25M),0.05,0.4,38,0.049977916,0.0799646656,0.4499379392,26861848.24
SME Fund (£25M),0.05,0.4,39,0.04999742,0.079995872,0.964079584,27505032.4
SME Fund (£25M),0.05,0.4,40,0.04995628,0.079930048,0.571192448,27012853.84
SME Fund (£25M),0.05,0.4,41,0.049891006,0.0798256096,0.8036134112,27301682.92
SME Fund (£25M),0.05,0.4,42,0.049955952,0.0799295232,0.4838429184,26903658.4
SME Fund (£25M),0.05,0.4,43,0.049971088,0.0799537408,0.9472722176,27483338.56
SME Fund (£25M),0.05,0.4,44,0.049037518,0.0784600288,0.4450306016,26831263.72
SME Fund (£25M),0.05,0.4,45,0.049951614,0.0799225824,0.9334870368,27465600.76
SME Fund (£25M),0.05,0.4,46,0.04956992,0.079311872,0.698756416,27162263.44
SME Fund (£25M),0.05,0.4,47,0.049993172,0.0799890752,0.8144764864,27317918.08
SME Fund (£25M),0.05,0.4,48,0.049106928,0.0785710848,0.7841642496,27256985.44
SME Fund (£25M),0.05,0.4,49,0.049871728,0.0797947648,0.7156752896,27191259.04
SME Fund (£25M),0.1,0.4,0,0.049788646,0.0796618336,0.5856811232,27026606.2
SME Fund (£25M),0.1,0.4,1,0.049157938,-0.009328512533333333,0.1045166736,26078822.68
SME Fund (£25M),0.1,0.4,2,0.049367556,0.0586672096,0.1457836512,26389582.72
SME Fund (£25M),0.1,0.4,3,0.049966868,-0.03432823786666667,0.0913288416,25984767.52
SME Fund (£25M),0.1,0.4,4,0.049916698,0.0798667168,0.3201295136,26697996.04
SME Fund (£25M),0.1,0.4,5,0.049877186,-0.042100329066666664,0.0864646992,25947748.36
SME Fund (£25M),0.1,0.4,6,0.049994142,-0.1011302928,0.0513087024,25684780.12
SME Fund (£25M),0.1,0.4,7,0.049889384,-0.045458212266666666,0.0844772928,25932916.0
SME Fund (£25M),0.1,0.4,8,0.048605584,0.04240664106666667,0.1343204928,26299037.2
SME Fund (£25M),0.1,0.4,9,0.049142472,0.0505345152,0.1403998464,26347853.68
SME Fund (£25M),0.1,0.4,10,0.049914728,-0.026241501866666666,0.0960640896,26019969.04
SME Fund (£25M),0.1,0.4,11,0.049026822,0.0784429152,0.2520135264,26589714.28
SME Fund (£25M),0.1,0.4,12,0.048534288,0.0300383808,0.1267398336,26241754.48
SME Fund (£25M),0.1,0.4,13,0.048923068,0.0782769088,0.3436300736,26701537.36
SME Fund (£25M),0.1,0.4,14,0.04877163,0.078034608,0.237818736,26565335.8
SME Fund (£25M),0.1,0.4,15,0.049698428,-0.0042955018666666666,0.1087471776,26113794.4
SME Fund (£25M),0.1,0.4,16,0.049966266,0.0799460256,0.4315093152,26838509.56
SME Fund (£25M),0.1,0.4,17,0.049975116,0.0580397856,0.1467681312,26400611.68
SME Fund (£25M),0.1,0.4,18,0.04898548,0.05559271466666667,0.143083104,26367036.16
SME Fund (£25M),0.1,0.4,19,0.048726886,-0.008540515733333334,0.1040239152,26072540.68
SME Fund (£25M),0.1,0.4,20,0.049960678,-0.024123408533333335,0.0974378736,26030548.12
SME Fund (£25M),0.1,0.4,21,0.049022854,0.06731111306666666,0.1501978608,26420621.08
