scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
SME Fund (£25M),0.02,0.4,0,0.049935852,0.0798973632,0.9612316224,27499871.68
SME Fund (£25M),0.02,0.4,1,0.049845962,0.0797535392,1.0851834784,27652474.36
SME Fund (£25M),0.02,0.4,2,0.049225344,0.0787605504,1.1374434048,27701663.2
SME Fund (£25M),0.02,0.4,3,0.04833434,0.077334944,0.729588064,27168677.92
SME Fund (£25M),0.02,0.4,4,0.049961914,0.0799390624,1.1429018528,27727637.08
SME Fund (£25M),0.02,0.4,5,0.049812192,0.0796995072,0.8028751104,27298710.88
SME Fund (£25M),0.02,0.4,6,0.0485768,0.07772288,1.11784288,27660300.4
SME Fund (£25M),0.02,0.4,7,0.049867488,0.0797879808,1.1152999296,27690679.6
SME Fund (£25M),0.02,0.4,8,0.049712468,0.0795399488,0.7738497856,27259836.4
SME Fund (£25M),0.02,0.4,9,0.049858532,0.0797736512,0.7895996224,27283321.36
SME Fund (£25M),0.02,0.4,10,0.048661102,0.0778577632,0.7986374624,27263485.48
SME Fund (£25M),0.02,0.4,11,0.0499069,0.07985104,1.13692016,27718729.6
SME Fund (£25M),0.02,0.4,12,0.049941226,0.0799059616,1.2408057632,27849479.08
SME Fund (£25M),0.02,0.4,13,0.048910344,0.0782565504,0.9624931968,27474785.44
SME Fund (£25M),0.02,0.4,14,0.049947586,0.0799161376,1.1058618272,27680964.52
SME Fund (£25M),0.02,0.4,15,0.049910184,0.0798562944,1.0984583808,27670737.76
SME Fund (£25M),0.02,0.4,16,0.049209254,0.0787348064,1.0746865888,27622798.84
SME Fund (£25M),0.02,0.4,17,0.049804224,0.0796867584,1.0713358848,27634079.68
SME Fund (£25M),0.02,0.4,18,0.04997132,0.079954112,1.1515408,27738680.32
SME Fund (£25M),0.02,0.4,19,0.049981956,0.0799711296,1.1038210752,27679307.2
SME Fund (£25M),0.02,0.4,20,0.04994154,0.079906464,1.154600928,27741731.2
SME Fund (£25M),0.02,0.4,21,0.048710172,0.0779362752,1.1153465664,27660647.68
SME Fund (£25M),0.02,0.4,22,0.049865134,0.0797842144,0.8259404768,27328919.08
SME Fund (£25M),0.02,0.4,23,0.049955848,0.0799293568,1.0858136576,27656119.12
SME Fund (£25M),0.02,0.4,24,0.04980154,0.079682464,1.114913312,27688481.68
SME Fund (£25M),0.02,0.4,25,0.049654592,0.0794473472,1.1465684224,27724229.92
SME Fund (£25M),0.02,0.4,26,0.049907106,0.0798513696,0.8411457312,27349016.92
SME Fund (£25M),0.02,0.4,27,0.049899262,0.0798388192,1.0945083104,27665516.2
SME Fund (£25M),0.02,0.4,28,0.049346794,0.0789548704,1.0189355168,27556686.04
SME Fund (£25M),0.02,0.4,29,0.049826306,0.0797220896,1.1337551392,27712677.88
SME Fund (£25M),0.02,0.4,30,0.048557206,0.0776915296,0.6831026912,27116365.72
SME Fund (£25M),0.02,0.4,31,0.049226888,0.0787630208,1.0653154816,27611543.44
SME Fund (£25M),0.02,0.4,32,0.049924912,0.0798798592,0.8773812224,27394774.24
SME Fund (£25M),0.02,0.4,33,0.049003526,0.0784056416,0.7382801632,27196941.88
SME Fund (£25M),0.02,0.4,34,0.049740768,0.0795852288,1.1278244736,27703040.56
SME Fund (£25M),0.02,0.4,35,0.049489984,0.0791839744,1.0394069888,27585998.32
SME Fund (£25M),0.02,0.4,36,0.04882453,0.078119248,1.156330832,27714851.32
SME Fund (£25M),0.02,0.4,37,0.049501998,0.0792031968,1.1859352416,27769471.0
SME Fund (£25M),0.02,0.4,38,0.049971032,0.0799536512,1.2439302784,27854159.68
SME Fund (£25M),0.02,0.4,39,0.049900642,0.0798410272,0.9901400864,27535091.8
SME Fund (£25M),0.02,0.4,40,0.04861943,0.077791088,1.011599152,27528604.12
SME Fund (£25M),0.02,0.4,41,0.048460128,0.0775362048,1.0338514176,27552277.6
SME Fund (£25M),0.02,0.4,42,0.04874681,0.077994896,0.917394448,27414160.12
SME Fund (£25M),0.02,0.4,43,0.049979986,0.0799679776,1.1970109472,27795743.32
SME Fund (£25M),0.02,0.4,44,0.049887362,0.0798197792,1.0850763424,27653416.84
SME Fund (£25M),0.02,0.4,45,0.04979595,0.07967352,1.118339376,27692618.92
SME Fund (£25M),0.02,0.4,46,0.04986025,0.0797764,0.991342544,27535544.68
SME Fund (£25M),0.02,0.4,47,0.049880648,0.0798090368,1.1019001216,27674272.0
SME Fund (£25M),0.02,0.4,48,0.049907416,0.0798518656,1.1218107392,27699856.24
SME Fund (£25M),0.02,0.4,49,0.049813846,0.0797021536,1.0885170272,27655806.28
SME Fund (£25M),0.05,0.4,0,0.049998896,0.0799982336,0.6211128832,27076362.4
SME Fund (£25M),0.05,0.4,1,0.04997611,0.079961776,0.612520112,27065029.0
SME Fund (£25M),0.05,0.4,2,0.049995168,0.0799922688,0.9464894976,27482986.24
SME Fund (£25M),0.05,0.4,3,0.04911518,0.078584288,1.049158048,27588442.24
SME Fund (£25M),0.05,0.4,4,0.0499155,0.0798648,0.776248608,27268113.76
SME Fund (£25M),0.05,0.4,5,0.049968406,0.0799494496,0.8097305312,27311341.72
SME Fund (£25M),0.05,0.4,6,0.049834948,0.0797359168,0.7777543616,27267901.6
SME Fund (£25M),0.05,0.4,7,0.047988212,0.0767811392,0.6028358464,27001238.32
SME Fund (£25M),0.05,0.4,8,0.049911084,0.0798577344,0.5872102848,27031701.04
SME Fund (£25M),0.05,0.4,9,0.049991122,0.0799857952,0.9771222944,27521172.04
SME Fund (£25M),0.05,0.4,10,0.049982538,0.0799720608,0.9337994016,27466795.24
SME Fund (£25M),0.05,0.4,11,0.049939244,0.0799027904,0.8554752448,27367764.4
SME Fund (£25M),0.05,0.4,12,0.04998153,0.079970448,0.70643688,27182565.88
SME Fund (£25M),0.05,0.4,13,0.049073106,0.0785169696,0.5059774752,26908372.6
SME Fund (£25M),0.05,0.4,14,0.049033002,0.0784528032,0.7571181984,27221255.8
