scenario,default_rate,recovery_rate,iteration,senior_return,junior_return,equity_return,total_final_value
Baseline,0.04,0.0,0,0.0492894,0.07886304,0.73300448,1087911.2
Baseline,0.04,0.0,1,0.0495387,0.07926192,0.96418864,1099729.68
Baseline,0.04,0.0,2,0.04987265,0.07434724,0.23742708,1062921.56
Baseline,0.04,0.0,3,0.0475534,0.07608544,0.30812128,1064861.6
Baseline,0.04,0.0,4,0.049651,-0.011831733333333334,0.2054664,1048219.36
Baseline,0.04,0.0,5,0.04986355,-0.010294653333333334,0.20691756,1048692.52
Baseline,0.04,0.0,6,0.0499796,0.07996736,0.47462272,1075709.92
Baseline,0.04,0.0,7,0.0498788,0.007844746666666666,0.21351216,1051755.36
Baseline,0.04,0.0,8,0.0492721,0.07883536,0.97259472,1099872.72
Baseline,0.04,0.0,9,0.049296,-0.05073306666666667,0.1899624,1041324.96
Baseline,0.04,0.0,10,0.04982955,0.07972728,0.23973176,1063809.32
Baseline,0.04,0.0,11,0.0472941,0.07567056,0.24815952,1061593.84
Baseline,0.04,0.0,12,0.04960335,0.07936536,1.03043672,1103109.32
Baseline,0.04,0.0,13,0.04888925,-0.0014755333333333334,0.205977,1049188.92
Baseline,0.04,0.0,14,0.04999795,-0.01723028,0.20498844,1047663.24
Baseline,0.04,0.0,15,0.04995705,0.07993128,0.71765416,1087838.04
Baseline,0.04,0.0,16,0.04992275,0.0798764,0.3568428,1069761.8
Baseline,0.04,0.0,17,0.04996035,0.04948556,0.22884732,1058833.48
Baseline,0.04,0.0,18,0.0495847,0.07933552,0.58502064,1080819.12
Baseline,0.04,0.0,19,0.049987,0.0799792,0.7027664,1087124.8
Baseline,0.04,0.0,20,0.04999325,0.0615642,0.2333346,1060895.96
Baseline,0.04,0.0,21,0.0490481,0.07847696,0.70126352,1086073.2
Baseline,0.04,0.0,22,0.04993455,0.07989528,0.66693336,1085278.6
Baseline,0.04,0.0,23,0.0499955,-0.07180386666666666,0.1853316,1038492.4
Baseline,0.04,0.0,24,0.04982685,0.07972296,0.27928392,1065784.12
Baseline,0.04,0.0,25,0.04916,0.078656,0.573536,1079803.2
Baseline,0.04,0.0,26,0.0499977,0.07999632,0.51931024,1077963.12
Baseline,0.04,0.0,27,0.04889435,0.07823096,0.55351992,1078526.12
Baseline,0.04,0.0,28,0.0499532,0.07992512,0.62257344,1083080.0
Baseline,0.04,0.0,29,0.04767155,0.07627448,0.32531256,1065844.04
Baseline,0.04,0.0,30,0.04994135,0.07990616,0.83935192,1093906.6
Baseline,0.04,0.0,31,0.0497232,0.05754512,0.23074704,1059947.68
Baseline,0.04,0.0,32,0.0487967,0.07807472,0.89799664,1095648.4
Baseline,0.04,0.0,33,0.04864685,0.060220626666666666,0.22716372,1059308.76
Baseline,0.04,0.0,34,0.04910155,0.07856248,0.45345016,1073738.12
Baseline,0.04,0.0,35,0.04986965,0.07979144,0.77369608,1090549.24
Baseline,0.04,0.0,36,0.04997045,0.07995272,0.62517064,1083227.8
Baseline,0.04,0.0,37,0.04992715,0.07988344,0.34249208,1069048.84
Baseline,0.04,0.0,38,0.04888125,0.07821,0.9413108,1097902.04
Baseline,0.04,0.0,39,0.04977965,0.07964744,0.43639048,1073590.36
Baseline,0.04,0.0,40,0.04986255,0.03353708,0.22269276,1056055.24
Baseline,0.04,0.0,41,0.0495128,0.07922048,0.32152256,1067569.44
Baseline,0.04,0.0,42,0.04899095,0.07838552,0.48061464,1074981.32
Baseline,0.04,0.0,43,0.04783855,0.07654168,0.87872216,1093688.2
Baseline,0.04,0.0,44,0.0497327,0.07957232,0.55528944,1079486.48
Baseline,0.04,0.0,45,0.04912165,0.03306564,0.21939348,1055226.84
Baseline,0.04,0.0,46,0.04837705,0.07740328,0.54204776,1077414.52
Baseline,0.04,0.0,47,0.0499722,0.07995552,0.30371104,1067156.64
Baseline,0.04,0.0,48,0.0499124,-0.03224416,0.19922208,1045054.4
Baseline,0.04,0.0,49,0.04990145,0.07984232,0.25075944,1064435.48
Baseline,0.04,0.4,0,0.0493521,0.07896336,0.81893712,1092273.04
Baseline,0.04,0.4,1,0.0480699,0.07691184,0.78944688,1089465.04
Baseline,0.04,0.4,2,0.048522,0.0776352,0.8975616,1095340.96
Baseline,0.04,0.4,3,0.0498424,0.07974784,0.76217408,1089944.8
Baseline,0.04,0.4,4,0.0495241,0.07923856,0.97802672,1100406.4
Baseline,0.04,0.4,5,0.0475079,0.07601264,0.80735248,1089775.84
Baseline,0.04,0.4,6,0.0499538,0.07992608,0.82001056,1092952.48
Baseline,0.04,0.4,7,0.04994635,0.07991416,0.86734232,1095311.32
Baseline,0.04,0.4,8,0.04850205,0.07760328,0.85078056,1092981.16
Baseline,0.04,0.4,9,0.04967605,0.07948168,0.59276936,1081301.56
Baseline,0.04,0.4,10,0.04995935,0.07993496,0.66369112,1085142.28
Baseline,0.04,0.4,11,0.04948675,0.0791788,0.6960668,1086269.56
Baseline,0.04,0.4,12,0.0499236,0.07987776,0.89222592,1096531.84
Baseline,0.04,0.4,13,0.0494046,0.07904736,0.37933632,1070347.6
Baseline,0.04,0.4,14,0.0483252,0.07732032,0.72256224,1086386.32
Baseline,0.04,0.4,15,0.04977315,0.07963704,0.72754488,1088141.32
Baseline,0.04,0.4,16,0.0491692,0.07867072,0.62224064,1082248.0
Baseline,0.04,0.4,17,0.0499764,0.07996224,1.01184288,1102567.6
Baseline,0.04,0.4,18,0.04992975,0.0798876,0.8674524,1095299.56
Baseline,0.04,0.4,19,0.04829605,0.07727368,0.96828296,1098642.04
Baseline,0.04,0.4,20,0.04786475,0.0765836,0.5672188,1078140.28
Baseline,0.04,0.4,21,0.0499835,0.0799736,0.8407768,1094021.68
Baseline,0.04,0.4,22,0.04823515,0.07717624,0.64936568,1082632.84
Baseline,0.04,0.4,23,0.0498806,0.07980896,0.92938912,1098345.28
Baseline,0.04,0.4,24,0.0493628,0.07898048,0.50951296,1076812.96
Baseline,0.04,0.4,25,0.0495068,0.07921088,0.48509056,1075741.6
Baseline,0.04,0.4,26,0.0495514,0.07928224,1.24380128,1113723.52
Baseline,0.04,0.4,27,0.04992135,0.07987416,0.55628472,1079732.44
Baseline,0.04,0.4,28,0.04871225,0.0779396,0.8191732,1091619.4
Baseline,0.04,0.4,29,0.0497999,0.07967984,1.20442288,1112013.04
Baseline,0.04,0.4,30,0.04999435,0.07999096,0.81728312,1092858.28
Baseline,0.04,0.4,31,0.0492928,0.07886848,0.41043776,1071786.4
Baseline,0.04,0.4,32,0.0493548,0.07896768,0.79785696,1091221.84
Baseline,0.04,0.4,33,0.04995415,0.07992664,0.73830008,1088867.32
Baseline,0.04,0.4,34,0.0485837,0.07773392,0.74259664,1087656.88
Baseline,0.04,0.4,35,0.04987165,0.07979464,0.74229128,1088981.08
Baseline,0.04,0.4,36,0.04923125,0.07877,0.5268148,1077541.24
Baseline,0.04,0.4,37,0.049546,0.0792736,0.721424,1087599.04
Baseline,0.04,0.4,38,0.04994345,0.07990952,0.41114344,1072498.36
Baseline,0.04,0.4,39,0.04786635,0.07658616,0.82480632,1091021.32
Baseline,0.04,0.4,40,0.04994015,0.07990424,0.77029048,1090452.28
Baseline,0.04,0.4,41,0.0497789,0.07964624,0.40429168,1071984.64
Baseline,0.04,0.4,42,0.04814035,0.07702456,0.56212952,1078172.44
Baseline,0.04,0.4,43,0.0473856,0.07581696,0.84558432,1091560.24
Baseline,0.04,0.4,44,0.0499063,0.07985008,0.95695856,1099750.48
Baseline,0.04,0.4,45,0.0499655,0.0799448,0.9003208,1096980.16
Baseline,0.04,0.4,46,0.0499159,0.07986544,1.06028048,1104926.56
Baseline,0.04,0.4,47,0.0494432,0.07910912,0.77425504,1090133.68
Baseline,0.04,0.4,48,0.0499088,0.07985408,0.94961056,1099385.68
Baseline,0.04,0.4,49,0.04698845,0.07518152,0.88518184,1093127.08
High Equity (10%),0.04,0.0,0,0.05,0.0783472,0.5668608,1107355.52
High Equity (10%),0.04,0.0,1,0.05,0.0797452,0.3084636,1081795.4
High Equity (10%),0.04,0.0,2,0.05,0.079294,0.3230092,1083159.72
